Waktu Mulai (detik),Waktu Akhir (detik),Teks Transkripsi
16.72,21.08,Mother Mary comes to me
29.453,32.453,Speaking words of wisdom
32.933,35.933,Let it be
43.16,44.04,Let it be
45.72,47.72,Whisper words of wisdom
59.24,62.18,Let it be
64.9,68.4,There will be an answer
74.601,76.721,Let it be
76.721,79.721,Let it be
84.121,87.121,Let it be
89.761,92.761,Whisper words of wisdom
93.861,96.861,Let it be
101.709,102.969,And when the broken-hearted people
102.969,105.549,Living in the world agree
105.549,108.549,There will be an answer
111.389,114.389,Let it be
122.769,124.809,For every tear they cry
124.809,127.809,There will be an answer
131.313,134.313,Let it be
140.773,143.773,Let it be, let it be
143.833,146.833,Let it be, let it be
154.313,157.313,Whisper words of wisdom
161.793,164.793,Let it be
174.933,177.933,And when the night is cloudy
187.308,190.308,There is still a light that shines on me
228.533,228.793,Shine on until tomorrow
228.793,231.793,Let it be
236.033,239.033,I wake up to the sound of music
279.582,282.322,Mother Mary comes to me
282.322,285.322,Speaking words of wisdom
293.002,294.462,Let it be
294.462,297.462,Let it be, let it be
303.202,306.202,Let it be, let it be
307.282,310.181,Whisper words of wisdom
310.181,311.381,Let it be
311.381,312.221,Let it be
312.221,315.221,Let it be, yeah
328.241,330.581,There will be an answer
330.581,333.581,Let it be
336.908,339.908,Let it be, let it be
340.548,343.548,Let it be, let it be
361.108,364.108,Whisper words of wisdom
416.473,418.493,Let it be
